G,E,L,D,Avg. dist,Min. dist,Max. dist
0.3,0.3,15,0.3,11.52169203,4.480101609,27.59649123
0.3,0.3,15,0.6,12.68266915,3.236240474,32.19298246
0.3,0.3,5,0.3,14.00231777,3.294665538,38.5
0.3,0.3,5,0.6,11.6724091,3.791701948,31.71929825
0.3,0.6,15,0.3,8.397004944,3.692633362,17.21929825
0.3,0.6,15,0.6,9.81666242,3.83149873,20.19298246
0.3,0.6,5,0.3,9.810571461,3.653683319,24.62280702
0.3,0.6,5,0.6,9.118472884,4.944961897,13.47368421
0.6,0.3,15,0.3,15.09523587,3.870448772,40.56140351
0.6,0.3,15,0.6,12.62051786,4.83657917,35.63157895
0.6,0.3,5,0.3,8.871612735,4.810679612,24.15789474
0.6,0.3,5,0.6,11.51972735,4.605419136,31.35087719
0.6,0.6,15,0.3,8.815221256,5.705501618,12.83146067
0.6,0.6,15,0.6,9.053482006,4.917741935,14.01754386
0.6,0.6,5,0.3,7.853975647,4.394580864,14.35087719
0.6,0.6,5,0.6,8.433998886,4.517358171,11.65789474
